i,u|you 
complete,fckin|total|mentaly|fckn|fukin|fkn|whiny|fuckign|fuckking|mentally
pr,partie|chier|fort|pote|jte|baise|jsui|tellement|voir|seul
drop,dropped
strange,weird|helpful|balanced|unfair|sucky|anoying|kewl|gd|cheap|interesting
cayt,vaine|vayn|heim|caytlin|vladi|kartus|malphit|ryz|kyle|corky
qe,porque|asi|este|como|una|pues|dios|para|mucho|sabes
usseles,usles|scumbag|uselss|pr0|uselles|uncarryable|uselesss|retarde|tks|blinded
nic,jaki|jestes|spoko|nawet|ouch|dobrze|looool|jeszcze|jj|hahahahahahah
baddie,twat|failure|bich|prick|retared|whiner|slut|wanker|jews|geek
wiht,
rule,
famr,
douche,jerk|child|dickhead|baddie|failure|douchebag|whiner|prick|pussy|nerd
sitting,staying|standing|chilling
3x,4x|2x|1x|x2|95|endless|nio|5x|69|xdddddddd
nubs,motherfuckers|retardeds|noooooobs|newbs|trashes|campers|lows|noooobs|nobos|naps
retarted,tarded|braindead|anoying|uselss|worthless|terribad|brainless|awful|usles|abd
uno,retrasado|malisimo|xq|esto|esk|muy|aqui|ese|vez|culpa
yii,teeemo|temmo|arhi|gangplank|kartus|temo|victor|hari|zigs|rize
asd,usual|ji|exo|iw|fd|peur|brainafk|abi|sinn|isso
aggro,hugging
jeu,coup|compte|anglais|cul|parler|genre|avant|vie|pue|francais
guyz,dudes|bros|boys|gyus|naps|caytlin|heim|fidd|mumy|men
watched,followed|healed|warned|ultied|shielded|moved|ignited
lantern,lifesteal|manamune|wriggle|wriggles|merc|sheen|scepter|shurelya|latern|hourglass
nothin,nothink|nothign|sth|nothing
avoid,dodge
jamais,leur|vien|lui|jai|genre|encore|jsuis|jme|faire|ces
ahhh,jajajajaja|snake|guise|haa|aaah|hahahahahha|loooooooooool|arg|fc|oha
osef,mieux|hein|salope|vient|perdre|chui|couille|jsui|gamin|jsuis
tele,utl|zhonyas|pee|ue|vot|ex|dacht|tb|drg|bow
beg,warned
hilarious,ridiculous|pointless|annyoing|unbelievable|incredible|amazing|horrible|awful|invalid|anoying
aller,francais|allez|oui|ouai|jte|laisse|casse|ais|aussi|encore
insulte,aide|nul|seul|allez|jte|mauvais|grosse|serieux|aller|tkt
zeal,phantom|edge|sheen|infinity|philo|wriggle|rylais|atmas|atma|bloodthirster
blocked,shielded|block|hitted|kileld|hited|froze|fling|ignited|saves|insulted
jeah,glhf|yeee|ouh|nm|wtv|me2|loooooooooool|ehhh|xddddddddddddddd|erm
jk,aight|baylife|jea|gh|nooooooooo|ouh|hehehe|bj|jep|ahahhaha
positioning,timing|choice|ideas|connection|reactions|tactic|gameplay|palyer|news|decision
normaly,
grabs,abilities|arrows|shields|qs|arguments|ideas|reactions|crits|feelings|tits
fly,charge
var,bara|eller|och|med|inte|mig|ju|ett|kommer|nej
mroe,moar|mor
mentally,russian|polish|shits|prick|nigger|mentaly|nazi|cunts|complete|twat
uns,mir|werden|sich|zum|voll|jetzt|dir|einfach|ihn|naja
grabbed,cought|hooked|catched|caugh|caught|zoned|grabed|bursted|baited|babysitted
suicided,recalled|moved|raged|roamed|lucked|switched|chased|healed|afked|followed
alli,trinda|darious|olag|yoric|raka|tem|panteon|morder|rize|darus
mn,seg|jahre|nivel|sek|cm|od|lev|ans|minuts|dra
defense,armour|defence|res|bloodthirster|resi|cap|pene|atma|rm|mres
vez,otra|despues|torre|dios|aqui|siempre|partida|cuenta|estoy|esk
following,chasing|attacking|feding|ignoring|ulting|flamin|baiting|protecting|trollin|focusing
tem,fds|www|chatte|jan|bom|hijos|isto|bem|vol|bande
ex,ign|exh|dfg|utli|utl|tibbers|shurelyas|zhonyas|ignit|smit
defeat,pown
dickhead,jerk|prick|douche|twat|douchebag|failure|nerd|virgin|nazi|baddie
healing,ulting|defending|moving
instalock,
phant,heracim|alista|shacco|vladi|caith|ramus|fio|vaine|darus|gangplank
phage,wriggle|shurelia|shurelias|mejais|sunfire|atma|randuins|merc|atmas|chalice
wana,wanna|wanne
regarde,sous|avant|mes|putain|parle|arabe|francais|laisse|baise|ces
md,bot2|miod|mdi|bpt|boty|mmid|topo|toop|otp|miud
zeke,shurelya|madred|banshee|shurelia|abyssal|zekes|warmogs|randuin|warmog|madreds
hot,dangerous|anoying|lazy|guud|rich|wierd|dump|clever|laggy|baad
2min,1min|5min|3min|10sec|pit|10min|30s|20min|area|30sec
agian,
contest,afford|winn|pass|deny|belive|unward
lols,nwm|wops|loooooooooool|hahahhaha|hahahaah|yyy|spoko|gh|sryy|wtfff
delay,cooldown|laggs
clarity,cleanse|revive|utl|lantern
clown,robot|whiner|pedobear|hoe|banana|n4p|bithc|freak|tree|br
jungl,
doenst,dosent|doesnt|doesent|dosnt
revive,ign|exh|knockup|sutn|exaust|promote|ex|clarity|ulit|uklt
trollin,troling|derping|ignoring|lying|feding|joking|raping|harassing|cheating|suiciding
psuh,depush|poush|puish|puhs|oush|owm|cming|psh|pus|commin
imagine,
tought,thought|hoped
tab,alt|f4|shift
denn,sonst|soll|machst|sagen|willst|ach|aus|voll|passiert|euch
sorak,blits|blit|alis|riv|sora|popy|trsit|jac|raka|tarik
return,cum|poo|post
blah,hammer|dole|plasplas|lekker|link|vodka|gee|gangster|hoor|plas
yee,yeee|yeha|nooooooo|jap|trolololol|aso|gh|runer|spoko|headshot
ay,vale|estar|aki|sta|mismo|mato|habla|tal|claro|perdido
roa,rylai|atmas|bloodthirster|scepter|void|banshees|mejais|rylais|warmog|warmogs
00,lv|lev|hours|02|4vs|vs5|minuts|3vs|mins|months
yuo,youi|yoiu|yu|leb|ypou|yopu|uy|ypu
kils,kilsl|drakes|frags|asist|killz|lvls|waves|assit|kills|barons
healer,runner|camper|fuckn|soooooo|ganker|character|gaming|kser|gamers|luker
32,31|26|27|44|42|28|33|23|22|45
east,west|server|youtube|poo|poland|skype|stream|house|earth
ths,tis|woah|debil|zwo|lekker|dobrze|nei|pw|jebany|pz
ss3,ssmid|1ss|trololololo|ahahhah|gooooo|sssss|lolwut|re1|lkol|loooooooooooool
mitte,uns|jeden|schule|gehen|mir|einfach|kommen|sterben|weil|lieber
feedet,gefeedet|feede|gut|schlecht|overfed|gefeeded|toll|ey|usseles|dieser
fcked,fked|screwed|fuked|messed|fucked|fuckd|screw|showed|shup|blew
contre,par|avec|aussi|prend|tuer|fait|vraiment|fois|fais|meme
unless,
voll,uns|einfach|nix|rum|mir|eig|werden|jetzt|unten|aus
1single,mikey|pm|spy|blackup|dominance
bravo,batard|moin|passe|ptin|boloss|vieux|jla|hola|insultes|rire
callate,calla|ostia|gilipollas|partida|pues|mato|comeme|colega|equipo|vaya
peace,pieces|sons|legend|legends|piece|league|doom|isntead|insted|bunch
ability,skil|spear|spell|armour|movement|ultimate|rune|ms|eye|aura
jung,goed|sei|vot|pula|weet|ak|het|dacht|kon|haut
lappen,kleiner|ruhig|wirst|kommst|kannst|warum|spast|eigentlich|opfer|wieso
malo,tonto|mejor|era|dios|este|bueno|suerte|para|malisimo|aqui
sold,sell
ut,
huso,hdf|spast|hurensohn|hure|hund|kleiner|scheiss|sagst|penner|schwuchtel
dicks,cocks|cock|dick|ballz
different,weird
video,forum|victory|youtube|server|record|screenshot|information|stream|price|ebay
wit,
theirs,ours|inhi|randuin|banshee|drak|shurelia|shurelya|zekes|shurelias|sheen
race,nike|parler|enculer|baise|compte|prendre|geule|dans|perdre|mere
zekes,abyssal|madreds|shurelya|thornmail|shurelia|rabadon|shurelias|zeke|warmogs|randuins
heh,fuuuuu|bana|jaki|aie|ahahahahahaha|congratz|headshot|haa|dah|woot
reportet,reporten|killt|baned|kommt|dumme|rennt|maul|warte|runter|lieber
fate,plas|spamer|plasplas|spammer|gaylord|ggwp|afkers|feeeder|pffff|pr0
chicken,baws|pig|pussys|assholes|rats|children|dumbs|trashes|whores|spastic
ragequit,spamer|fidlle|shutup|hahahahahahah|uhh|ahahahaha|oomg|raport|feder|repotr
atmas,atma|shurelia|philo|bloodthirster|rylai|shurelias|randuins|shurelya|void|warmogs
air,dark|kitchen|grass|future|corner|order|towe|box|circle|jack
unbelievable,unreal|incredible|hilarious|annyoing|senseless|pointless|ridiculous|awfull|hopeless|anoying
perso,cest|parler|toujours|putain|connard|dire|jeu|crire|avant|etre
een,jij|nog|hij|zo|dan|maar|nou|mij|het|zijn
maar,jij|nog|weer|dan|heb|ging|voor|niet|het|moet
fuucking,facking|faking|fuckking|fcuking|fckin|fkcing|fuckn|fkng|freakin|focking
wits,
fkcing,fcuking|fuckn|facking|fkng|fuucking|fckng|fucken|faking|luker|fckin
lead,
seeing,raping|supporting|surprised|thinking|listening|owning|watching|carrying|pwning|joking
doubt,worht|assume|liked|repeat|appreciate|admit|explains|accept|fix|prove
utli,utl|ex|smit|flahs|ignit|ulit|dfg|tibbers|flas|ingite
pew,beer|finis|surrnder|ree|f4|proc
fran,ais|francais|anglais|ouai|ces|parle|jte|chez|voir|suce
popy,arhi|shac|vayn|olag|riv|hari|zigs|morder|aka|ani
togheter,togehter|toghether|togther|toghter|together|togetehr|grouped|regroup|undertower|lego
final,tos|acer|bn|cosa|aki|otro|abajo|menos|li|sm
leaves,pushes|feeds|blames|cries|rapes|pwns|trollpicked|dies|owns|beats
goood,patetic|badd|nce|camon|beautiful|nobb|original|unluck|brave|guud
mental,issues|mentaly|nasty|connection|dirty|mexican|turkish|classic|kiddie|geek
richtig,werden|besser|naja|jetzt|dass|nix|ihn|einfach|eig|warum
sabes,pasa|este|mejor|tanto|asi|hay|eso|pero|vale|juego
bigger,older|slower|betetr|worse
npnp,wops|boo|nice1|opmg|nr1|wtfff|brbr|opa|gooooo|huhu
boot,potions|warmog|wriggle|mercury|oracel|atma|inf|bloodthirster|thormail|gp5
flam,spamm|flamme|falme|falming|flood|fedding|flameing|fedd|spaming|bitching
uses,used|pwns|ahs|spams|hasnt|remove|dodged|shielded|sees
becuase,bcs|couse|isntead|bec|course|sons|becasue|plenty|beacuse|bcuz
terribad,awful|horrible|terrible|uselss|worthless|retarted|braindead|godlike|invalid|immortal
jumps,jumped|runs|rages|dives|jumping|walks|locked|suicided|flashed|raged
whisper,tick|patch|night|hits|round|hiting
phew,puh|ramm|oha|jep|jan|aso|spoko|urf|hihi|headshot
keyboard,hair|pc|pants|house|profile|head|computer|nerves|hands|vagina
difficult,impossible|unfair|pointless|senseless|obv|strange|interesting|reportable|fair|obvious
ammumu,kyle|temmo|riv|heca|allistar|ryz|casio|popy|zigs|ramus
li,ko|che|kad|ala|pa|ele|sta|vai|nunca|8a
damit,eigentlich|wieso|sowas|kommst|kannst|vater|unten|lappen|selbst|wollte
charge,dash|fly|walked|jumped|kick|jump
constantly,
moved,suicided|flashed|ultied|recalled|engaged|ulted|pushes|fought|backed|stayed
iq,fps|age|health|accounts|stat|kd|arm|ms
badass,hot|threat|beast|brilliant|nazi|drunken
3v3,5vs5|soloq|general|3vs3|aram|pula|dominion|lobby|order
inhibitor,inhib|nexus|turrets|inhi|inib|turet|towers|torret|inhibs
prick,cunt|twat|nigger|jew|baddie|nerd|faggot|whore|scrub|nazi
insults,abuse|behaviour|racism|stupidity|verbal|trashtalk|spaming|harassment|attitude|flamming
aime,tais|avais|aide|nul|avoue|mauvais|aurais|seul|mort|tiens
int,intentionaly|intencional|international|intentionnal|nonstop|stopp|stoop|cose|intentionally
plss,plis|plzz|psl|plzzz|ggwp|pleas|plizz|plesae|pliz|pl0x
boys,jojo|verry|rize|soi|shacko|fio|guyz|trinda|7all|mumy
special,
ahrd,badly|hardcore|mutch|clever
buddy,nigga|bros|mentality|sir|brah|honey|d1ck|m8|inet|mummy
ahahahahaha,ogm|gggggg|waow|opmg|ahahahahha|haa|omng|idioot|wtfff|jajajajaja
ignited,exhausted|shielded|stuned|healed|killd|taunted|ultied|hitted|kileld|kiled
lack,tons|loads|lots|plenty|isntead|amount|insted|sons|couple|legend
noooooob,nooooooob|lcuker|nooooob|nnoob|nooooooooob|nobb|fuu|feeeder|noooob|noop
finished,realized|fixed|switched|spawned|realised
loled,nj|yw|solobot|gh|ahhhh|gotcha|rq|aff|ghj|opa
babysitt,babysit|babysitting|camp|gnak|puish|psuh|hlp
abd,cute|gud|anoying|mature|clever|retarted|squishy|lame|noobish|dump
ko,isto|nunca|sta|ainda|faz|sus|li|kad|aqui|agora
tooo,soooo|sooo|extremely
hai,uma|ainda|tens|nunca|sus|fdx|faz|fds|bem|tas
machst,willst|denn|hast|sonst|hure|siehst|kannst|wenigstens|soll|sagst
pain,beast|victim|douche|corner|present
reg,regen|infinite|pene|95|reduction|noi|ful|cdr|sou|3k
scout,deward|pul|recal|splitpush
dig,ju|vad|mig|inte|mamma|och|vi|jag|det|eller
sayd,
panthe,zigs|temo|fiz|temmo|kartus|heim|kyle|hari|fidle|nidale
custom,coop|normal|online|mario
lvl2,lv2|ninja|sometime|asap|tpo|topo|boty|bott|plank|tiop
hay,sabes|ahora|gente|juego|parece|pasa|asi|abajo|tanto|dios
tryed,tried|refused|wanted|refuses|decided|tries|refuse
1vs2,bk|undertower|basing|1v3
girls,fags|shits|children|rats|faggots|kiddys|assholes|flamers|sound|scrubs
rapes,owns|beats|counters|pwns|blames|loves|followed|snowballed|kiled|pushes
gooo,gogogog|gogoog|goooo|whay|looooool|okk|nr1|omng|oooh|gotcha
het,maar|nog|jij|aan|niet|zo|ging|voor|heb|hij
defending,pushin|recalling|soloing|attacking|tanking|eating|derping|lying|ulting|raping
ais,fran|francais|jte|ces|ouai|allez|laisse|voir|suce|lui
setup,tactic|comp|ganker|clan|character|palyer|tema|positioning|matchmaking
completely,totaly|completly|totally|beyond|sooooo|soooo
wining,owning|winning|dominating|pushin|joking|loosing|derping|raping|fighting|recalling
leben,dass|weil|uns|eigentlich|ganz|jetzt|dir|einfach|werden|warum
4vs1,5vs1|feders|3vs1|hahahahaha|ahahaha|ggg|haa|hahahaa|haah|2vs4
havnt,havent
bam,ahahahahahaha|congratz|xi|headshot|ciao|ahhah|jajajajaja|bum|gogogogo|suka
surend,surrende|surrnder|surredner|finis|surender|finsih|surre|surrener|bacl|splitpush
einen,weil|dann|alles|schnell|gleich|beide|wieso|jeden|ihn|nen
ra,eller|ett|var|mig|bara|nk|rr|inte|ju|och
clever,intelligent|abd|nooblike|mature|strange|helpful|anoying|cute|noobish|dangerous
fiddel,riv|hari|olag|morder|fio|akli|eze|malh|shac|vayn
muy,mio|este|retrasado|tan|partida|gente|otra|porq|dios|buena
casi,estoy|mato|digo|claro|todo|nosotros|gente|siempre|otro|torre
hatte,gemacht|weil|hab|erst|noch|habe|aus|eben|mehr|bis
awww,dman|me2|nooooooo|ouh|bj|baylife|aww|jk|oha|yeha
yesterday,
seju,fio|fidel|fior|udry|ryz|jan|wk|vaine|malh|olag
battle,dark
chose,dio|sent|tete|derriere|pete|che|voi|ac|encul|merd
energy,mp|skil|cooldowns|flahs|ignit|smit|flas|ingite|space|exh
coward,scumbag|baddie|nazi|retared|pgm|geek|bitchh|drunken|cocksucker|mexican
extra,bonus|4k|pene|cdr|atmas|84|6k|inf|pen|per
dass,werden|nichts|nix|eig|jetzt|naja|heute|reden|ihn|eigentlich
abit,
zo,niet|jij|het|maar|nog|ging|dan|weer|heb|een
estoy,mato|vez|despues|todo|siempre|otra|juego|asi|gente|partida
rd,rst|rde|rs|chuj|z|inte|har|eller|ci|bara
sister,dad|father|mothers|mums|boyfriend|mum|family|parents|self|fathers
lines,midd|sides|lanes|miod|miud
ooh,dman|aww|aw|awww|uh|me2|fc|ahhh|ouh|dammit
sooooo,soooo|sooo|soo|extremely|soooooo|super|freaking|uber|ahahahahah|totaly
gotten,taken|fought|lived
slowed,silenced|stuned|stunned|feared|ignited|distracted|taunted|denied|grabed|exhausted
sej,riv|vaigar|shacco|aniva|kyle|khartus|tarick|alista|shac|malh
shitt,shiit|moly|madness|shiet|sh1t|clown|jesus|corkie
porque,qe|asi|pues|este|juego|tanto|otra|mucho|ahora|nada
spree,
massive,mass|major|output|huge|tru
concentrate,hang
yeap,wtfff|spoko|baylife|npnp|wops|hhh|lalala|trolololol|gooooo|ahahahahha
ice,fg|kes|mda|kj|faen|mer|abi|gibi|orospu|ise
fre,freee|secured|secure|ish
sp,hei|wei|rke|spa|rk|idioten|din|wa|drauf|iss
sd,dg|orospu|mda|iyi|brainafk|p12|fg|hade|kj|bara
shud,wud|cud|woudl|may|might|shouldnt
mg,meu|fds|lolo|aie|mesmo|fg|noraj|ajajaj|bom|ainda
worries,coments|offence|coment|comments|offense|flahs|comunication|mp|puedo|voted
chars,champs|champions|heroes|heros|teams
dra,hj|hela|fitta|arr|vittu|gel|nk|tb|lt|daha
ahahahha,opmg|ogm|loll|fuuu|fuu|omng|gggggg|noop|omgh|haa
arrive,avais|tais|aime|avoue|aider|seul|aide|voila|mort|compris
jus,rk|sp|wha|idio|udir|yaya|ytou
grad,nichts|gerade|jetzt|alles|warum|richtig|nix|wird|euch|sonst
deiner,dir|eine|kleine|sich|uns|deinem|mir|ihn|aus|mitte
ulties,ults|ultis|flashes|shields|stuns|lives|cds|abilities|grabs|stunn
feederv,feedershut|sut|shup|scroll|shu|whut|hurry|messed|fuked|wake
af,mig|eller|dom|nej|nu|ett|vi|vet|och|pak
vete,aprende|vamos|iba|matar|reportar|perder|voy|ganar|joder|morir
omggg,ahahhaa|jajajajaja|haa|idioot|nooooooooo|pmg|ahahahahahaha|hahahahahahaha|fff|noobbb
kong,nooooooob|feeeder
tx,fy|thanx|gotcha|thks|nice1|yw|tks|spoko|nj|gh
casue,bcs|becuse|couse|bec|becasue|cos|becouse|bcuz|cus|beacuse
aaa,oha|kss|jajajajaja|fkc|nooba|aso|haa|fds|simon|trolololo
manamune,lantern|mejais|rylais|lifesteal|warmog|mercs|phage|mres|oracel|sheen
fin,anglais|pue|serio|doit|merd|vos|tete|perdre|jsui|mange
5th,third|3rd|frist|firt|6th|2nd|1st|evry|nxt|nex
bitchh,biitch|kidd|gaylord|bitche|slut|douchebag|cocksucker|kiddie|geek|coward
autre,ces|ouai|avant|allez|anglais|aller|ais|fran|encore|tkt
dced,silenced|recalled|taunted|immortal|exhausted|unkillable|invisible|afked|grabed|overfed
revenge,gun|doublebuff|eggs|pentakill|itembuild|d1ck|finger|shadow|girlfriend|motivation
inhi,inib|inhib|inhibitor|theirs|shurelias|inhibs|inh|raba|barons|banshee
tough,known|sucky
nnen,nnt|ften|wir|killen|suc|tten|zusammen|reden|dass|tut
noobish,anoying|lame|tarded|nooby|abd|nooblike|annyoing|clever|retarted|cute
connection,internet|client|computer|inet|latency|pc|positioning|gaming|mouse|grammar
hybrid,attackspeed|triforce|offtank|adk|promote|rylai|abysal|unkillable|solotop|rampage
ahahhaha,jajajajaja|ddddddd|hehehe|jk|headshot|gotcha|gh|glhf|oha|hahahahahahah
yorik,victor|alista|kartus|vaigar|caith|shac|wuk|zigg|tryda|tarick
followed,ultied|shielded|killd|kiled|ksed|beats|insulted|rapes|watched|healed
looked,looks
loll,opmg|gogogogo|wtffff|nice1|omng|yw|tss|jajajajajaja|wops|nr1
shhh,ntm|surrener|pg|simon|hahahahahahah|gran|gh|ahahahahha|surrnder|looooool
hec,shac|fiz|volli|vaine|ramus|kyle|fior|seju|shacko|morder
allez,aller|francais|ais|laisse|ouai|lui|potes|jte|alors|ces
29,31|48|28|36|38|26|41|27|23|44
cdr,bloodthirster|pen|armour|pene|penetration|atmas|infinity|res|stone|mres
pasa,tanto|sabes|haces|parece|eso|asi|hacer|pero|hay|tienes
shoulda,shouldve
frags,kils|frag|blues|kilsl|drakes|assit
seit,seid|habt|dass|richtig|verlieren|grad|gerade|gibts|hne|weil
sen,vi|ett|sta|eller|och|amk|mamma|ama|adam|ko
poland,germany|spain|france|russia|elohell|turkey|greece|england|nazis|germans
apres,nous|peut|laisse|tous|quand|lui|vien|jte|jsuis|qu
levels,lvls|waves|lv|deads|ads|level|weeks|hours|asist|00
killer,mvp|trololol|beste|law|huehuehue|immortal|bets|ahahahaha|pgm|unstoppable
ant,whant
hace,pero|tienes|pasa|como|eso|asi|para|ahora|este|cuando
comp,setup
vraiment,serieux|seul|baise|mdr|putain|nul|mauvais|quoi|aussi|potes
become,
sans,par|meme|leur|ces|jamais|vien|tous|quand|ils|lui
counterjungle,scape|focuse|pentakill|enage|gan|towerdive|moove|gankl|hunt|repoirt
tar,neger|kommer|ett|ju|ste|dom|mer|bara|dej|eller
spend,spent|wast
bueno,mejor|malo|este|ahora|asi|aqui|sabes|mato|tonto|para
noooobs,noooooobs|nobs|nooooobs|nooooooooobs|nobos|campers|naabs|nubs|nooobs|teeemo
atma,atmas|shurelya|scepter|guardian|shurelias|warmog|rabadon|wriggle|inf|rylai
ogm,wtfff|ofmg|opmg|fuuu|noobbb|fuu|fuckgin|wops|jajajajaja|pffff
shurelia,shurelya|atmas|zekes|randuins|wriggle|abyssal|sheen|shurelias|randuin|zeke
patetic,uncarryable|retardet|usles|goof|helpful|nobb|pr0|prooo|uselles|brilliant
gain,
leute,beide|dass|werden|immer|nichts|gerade|gesagt|kinder|sagen|uns
imposible,senseless|4v6|posible|4on5|deze|gon|pointless|kl|hopeless|4v4
agreed,gh|dcd|gotcha|oomg|hahahaah|ghj|fj|slowpoke|juked|opa
charm,bomb|tibbers|spear|snare|volley|axe|pool|cage|shark|juke
short,
philo,atmas|rabadons|shurelias|deathcap|warmogs|abyssal|shurelya|rabadon|shurelia|void
asco,dices|suerte|verdad|antes|haces|buena|mejor|tenemos|cosa|malo
interesting,helpful|reportable|necessary|strange|kewl|intelligent|wierd|senseless|difficult|pointless
victor,morder|yorik|gangplank|yii|hari|caith|raka|chogath|popy|grags
pul,guard|pulll|leash|pull|scout|cap|cover|leach|gimme
clan,character|riots|tem|cham|song|update|elohell|tea|setup|mentality
34,36|38|41|31|44|58|53|56|28|48
5v1,feders|4vs1|5vs1|3vs1|suprise|haa|xdddddd|looooool|hahahaa|hahahahaha
muertos,tus|cuenta|mancos|vez|xk|colega|mio|despues|entre|muerto
rod,nature|sons|loads|chalice|doom|insted|legends|sort|isntead|amount
unskill,unskiled|racism|unskilled|newbie|ort|negativ|spamer|lamer|patetic|uselesss
exaust,exh|ign|ex|revive|mp|flahs|sutn|ingite|tornado|ignit
ezrael,varrus|nocturn|hari|caitlin|trinda|popy|renk|vaine|malphit|arhi
arg,kla|ahahhaa|david|oha|xdddddddd|hahahahahahah|boi|behindert|moze|jajajajaja
